rank,condition,kind,n_features,runs,mean_score,std_score,median_score,mean_lines,std_lines,mean_pieces,truncated_runs,baseline_mean_score,baseline_mean_lines,mean_score_delta,std_score_delta,mean_score_delta_pct,mean_lines_delta,std_lines_delta,feature_indices,feature_names
57,fill_height_col_5,individual,1,100,612.8,687.8778374042291,420.0,11.48,10.618717988400093,67.12,0,692.4,13.36,79.6,1004.1126742683127,11.496244945118427,1.88,15.660720986537683,5,fill_height_col_5
58,horizontal_hole_clusteredness_row_3,individual,1,100,615.8,618.1581962212873,440.0,12.03,10.189571813249747,68.33,0,692.4,13.36,76.6,278.1330979980991,11.062969381860196,1.33,4.010226825494936,68,horizontal_hole_clusteredness_row_3
59,horizontal_hole_clusteredness_row_13,individual,1,100,621.8,615.9174482268733,400.0,12.03,10.854831815250467,68.59,0,692.4,13.36,70.6,787.2491680054368,10.196418255343731,1.33,13.106444555595118,78,horizontal_hole_clusteredness_row_13
60,vertical_hole_clusteredness_col_9,individual,1,100,624.0,673.168296606098,430.0,11.75,10.979664398470032,67.96,0,692.4,13.36,68.4,836.8154159694002,9.878682842287697,1.61,13.29456105087165,44,vertical_hole_clusteredness_col_9
61,vertical_hole_clusteredness_col_0,individual,1,100,626.0,803.4295176921183,390.0,12.59,16.238186070761934,69.91,0,692.4,13.36,66.4,954.2203121084794,9.589832466782209,0.77,17.57515176594386,35,vertical_hole_clusteredness_col_0
62,horizontal_hole_clusteredness_row_4,individual,1,100,627.0,623.8387191211743,420.0,12.29,10.124772101188752,69.2,0,692.4,13.36,65.4,379.15221750690586,9.445407279029464,1.07,6.238128118613982,69,horizontal_hole_clusteredness_row_4
63,hole_vertical_instability,individual,1,100,632.4,701.0686215494259,400.0,11.93,11.003447577275887,68.39,0,692.4,13.36,60.0,860.7020859786973,8.665511265164644,1.43,13.951036310662163,88,hole_vertical_instability
64,horizontal_hole_clusteredness_row_9,individual,1,100,632.6,592.5030281642773,410.0,12.23,9.87994090686945,69.04,0,692.4,13.36,59.8,790.4198858578876,8.636626227614096,1.13,12.021575721521819,74,horizontal_hole_clusteredness_row_9
65,horizontal_hole_edge_distance_row_18,individual,1,100,634.2,655.9150905876508,430.0,11.95,10.875210435674429,68.36,0,692.4,13.36,58.2,701.0531471661154,8.405545927209706,1.41,12.379597911258848,63,horizontal_hole_edge_distance_row_18
66,vertical_hole_clusteredness_col_7,individual,1,100,638.0,958.0683428101304,420.0,11.71,12.445675895058832,67.63,0,692.4,13.36,54.4,1160.2371056875147,7.8567302137492785,1.65,15.673032233551343,42,vertical_hole_clusteredness_col_7
67,horizontal_hole_clusteredness_row_17,individual,1,100,640.0,776.6439065464672,420.0,12.18,11.995268427445241,69.27,0,692.4,13.36,52.4,885.149214151564,7.56787983824379,1.18,14.981726242730549,82,horizontal_hole_clusteredness_row_17
68,horizontal_hole_edge_distance_row_2,individual,1,100,640.2,647.4534108273114,400.0,12.4,10.200019805882931,69.47,0,692.4,13.36,52.2,300.6913918477101,7.538994800693241,0.96,5.090930735884722,47,horizontal_hole_edge_distance_row_2
69,mean_hole_horizontal_clusteredness,individual,1,100,647.0,813.8616019144208,410.0,12.38,14.254384404367476,69.54,0,692.4,13.36,45.4,977.0450399551753,6.556903523974581,0.98,16.31320961922601,90,mean_hole_horizontal_clusteredness
70,horizontal_hole_clusteredness_row_18,individual,1,100,648.2,686.8584315930796,380.0,12.65,11.785434427566285,69.85,0,692.4,13.36,44.2,891.7276161553714,6.383593298671289,0.71,13.614679392093482,83,horizontal_hole_clusteredness_row_18
71,horizontal_hole_edge_distance_row_3,individual,1,100,649.0,607.5642710317513,450.0,12.75,10.41984799904645,70.19,0,692.4,13.36,43.4,427.40518471257684,6.268053148469093,0.61,6.701266275635501,48,horizontal_hole_edge_distance_row_3
72,fill_height_col_2,individual,1,100,651.2,624.1880058657541,460.0,12.38,10.045130485197614,69.66,0,692.4,13.36,41.2,895.7444621174843,5.950317735413056,0.98,14.405372174114332,2,fill_height_col_2
73,vertical_hole_clusteredness_col_6,individual,1,100,653.0,715.7809890199825,390.0,12.32,12.366360365397277,69.39,0,692.4,13.36,39.4,971.2158577907603,5.690352397458117,1.04,16.1745029430442,41,vertical_hole_clusteredness_col_6
74,horizontal_hole_edge_distance_row_15,individual,1,100,653.8,695.5076338091975,410.0,12.58,12.404935479172162,69.94,0,692.4,13.36,38.6,888.55463159748,5.574812247255922,0.78,14.789827243716875,60,horizontal_hole_edge_distance_row_15
75,horizontal_hole_clusteredness_row_15,individual,1,100,654.8,615.3105153522328,420.0,12.84,10.707988144418637,70.53,0,692.4,13.36,37.6,656.2044520027907,5.430387059503177,0.52,11.998720470504049,80,horizontal_hole_clusteredness_row_15
