condition,seed,score,lines,pieces,truncated
fill_height_col_4,68,540.0,13,69,False
fill_height_col_4,69,80.0,2,42,False
fill_height_col_4,70,460.0,10,63,False
fill_height_col_4,71,40.0,1,39,False
fill_height_col_4,72,480.0,11,67,False
fill_height_col_4,73,560.0,14,74,False
fill_height_col_4,74,200.0,5,49,False
fill_height_col_4,75,280.0,7,57,False
fill_height_col_4,76,460.0,11,66,False
fill_height_col_4,77,280.0,7,58,False
fill_height_col_4,78,200.0,5,52,False
fill_height_col_4,79,200.0,5,52,False
fill_height_col_4,80,380.0,5,49,False
fill_height_col_4,81,320.0,8,57,False
fill_height_col_4,82,420.0,10,65,False
fill_height_col_4,83,560.0,13,73,False
fill_height_col_4,84,80.0,2,44,False
fill_height_col_4,85,1340.0,31,117,False
fill_height_col_4,86,580.0,14,76,False
fill_height_col_4,87,240.0,6,51,False
fill_height_col_4,88,500.0,8,59,False
fill_height_col_4,89,1500.0,31,118,False
fill_height_col_4,90,600.0,14,76,False
fill_height_col_4,91,1160.0,15,79,False
fill_height_col_4,92,920.0,14,74,False
fill_height_col_4,93,280.0,6,56,False
fill_height_col_4,94,1940.0,41,141,False
fill_height_col_4,95,300.0,3,45,False
fill_height_col_4,96,580.0,10,63,False
fill_height_col_4,97,1520.0,30,117,False
fill_height_col_4,98,360.0,9,61,False
fill_height_col_4,99,640.0,11,65,False
fill_height_col_5,0,40.0,1,40,False
fill_height_col_5,1,420.0,10,67,False
fill_height_col_5,2,120.0,3,43,False
fill_height_col_5,3,140.0,3,47,False
fill_height_col_5,4,1200.0,24,101,False
fill_height_col_5,5,380.0,8,58,False
fill_height_col_5,6,640.0,15,78,False
fill_height_col_5,7,40.0,1,32,False
fill_height_col_5,8,1060.0,21,91,False
fill_height_col_5,9,320.0,8,61,False
fill_height_col_5,10,180.0,4,50,False
fill_height_col_5,11,40.0,1,35,False
fill_height_col_5,12,480.0,12,69,False
fill_height_col_5,13,340.0,8,55,False
fill_height_col_5,14,160.0,4,43,False
fill_height_col_5,15,680.0,11,66,False
fill_height_col_5,16,260.0,6,53,False
fill_height_col_5,17,80.0,2,44,False
fill_height_col_5,18,0.0,0,39,False
fill_height_col_5,19,700.0,12,69,False
fill_height_col_5,20,480.0,7,56,False
fill_height_col_5,21,4140.0,67,206,False
fill_height_col_5,22,260.0,6,55,False
fill_height_col_5,23,1600.0,29,112,False
fill_height_col_5,24,620.0,15,77,False
fill_height_col_5,25,920.0,21,91,False
fill_height_col_5,26,0.0,0,39,False
fill_height_col_5,27,500.0,8,59,False
fill_height_col_5,28,40.0,1,40,False
fill_height_col_5,29,160.0,4,50,False
fill_height_col_5,30,660.0,16,78,False
fill_height_col_5,31,420.0,10,63,False
fill_height_col_5,32,700.0,12,69,False
fill_height_col_5,33,1440.0,35,124,False
fill_height_col_5,34,400.0,9,64,False
fill_height_col_5,35,540.0,13,72,False
fill_height_col_5,36,120.0,3,45,False
fill_height_col_5,37,180.0,4,49,False
fill_height_col_5,38,240.0,6,53,False
fill_height_col_5,39,620.0,11,68,False
fill_height_col_5,40,640.0,11,67,False
fill_height_col_5,41,700.0,13,74,False
fill_height_col_5,42,100.0,2,40,False
fill_height_col_5,43,880.0,20,91,False
fill_height_col_5,44,760.0,17,82,False
fill_height_col_5,45,1180.0,24,98,False
fill_height_col_5,46,160.0,4,49,False
fill_height_col_5,47,600.0,14,76,False
fill_height_col_5,48,380.0,9,60,False
fill_height_col_5,49,340.0,8,61,False
fill_height_col_5,50,840.0,19,87,False
fill_height_col_5,51,1240.0,5,49,False
fill_height_col_5,52,2460.0,32,119,False
fill_height_col_5,53,380.0,9,61,False
fill_height_col_5,54,300.0,7,57,False
fill_height_col_5,55,260.0,6,52,False
fill_height_col_5,56,260.0,6,53,False
fill_height_col_5,57,300.0,7,54,False
fill_height_col_5,58,920.0,22,95,False
fill_height_col_5,59,1140.0,26,103,False
fill_height_col_5,60,220.0,5,51,False
fill_height_col_5,61,180.0,4,46,False
fill_height_col_5,62,900.0,18,83,False
fill_height_col_5,63,1240.0,30,112,False
fill_height_col_5,64,320.0,7,58,False
fill_height_col_5,65,660.0,16,81,False
fill_height_col_5,66,260.0,6,53,False
fill_height_col_5,67,360.0,9,62,False
fill_height_col_5,68,280.0,6,54,False
fill_height_col_5,69,600.0,14,76,False
fill_height_col_5,70,40.0,1,39,False
fill_height_col_5,71,80.0,2,44,False
fill_height_col_5,72,1580.0,12,67,False
fill_height_col_5,73,3520.0,47,156,False
fill_height_col_5,74,0.0,0,33,False
fill_height_col_5,75,40.0,1,43,False
fill_height_col_5,76,720.0,13,71,False
fill_height_col_5,77,420.0,10,64,False
fill_height_col_5,78,540.0,12,69,False
fill_height_col_5,79,2020.0,19,86,False
fill_height_col_5,80,80.0,2,45,False
fill_height_col_5,81,0.0,0,34,False
